Time Stamp,Time Zone,Fuel Category,Gen MW,,,,,
1/1/2018 0:05,EST,Dual Fuel,4619,,,My analysis to check my program:,,
1/1/2018 0:05,EST,Natural Gas,2700,,,,,
1/1/2018 0:05,EST,Nuclear,5410,,,Total,5207115,100.00
1/1/2018 0:05,EST,Other Fossil Fuels,352,,,Dual Fuel,1544996,29.67
1/1/2018 0:05,EST,Other Renewables,273,,,Natural Gas,786754,15.11
1/1/2018 0:05,EST,Wind,373,,,Nuclear,1602039,30.77
1/1/2018 0:05,EST,Hydro,2607,,,Other Fossil Fuels,119449,2.29
1/1/2018 0:10,EST,Dual Fuel,4624,,,Other Renewables,77715,1.49
1/1/2018 0:10,EST,Natural Gas,2707,,,Wind,117142,2.25
1/1/2018 0:10,EST,Nuclear,5413,,,Hydro,959020,18.42
1/1/2018 0:10,EST,Other Fossil Fuels,330,,,,,
1/1/2018 0:10,EST,Other Renewables,272,,,,,
1/1/2018 0:10,EST,Wind,369,,,,,
1/1/2018 0:10,EST,Hydro,2504,,,,,
1/1/2018 0:15,EST,Dual Fuel,4651,,,,,
1/1/2018 0:15,EST,Natural Gas,2726,,,,,
1/1/2018 0:15,EST,Nuclear,5413,,,,,
1/1/2018 0:15,EST,Other Fossil Fuels,326,,,,,
1/1/2018 0:15,EST,Other Renewables,267,,,,,
1/1/2018 0:15,EST,Wind,374,,,,,
1/1/2018 0:15,EST,Hydro,2417,,,,,
1/1/2018 0:20,EST,Dual Fuel,4609,,,,,
1/1/2018 0:20,EST,Natural Gas,2747,,,,,
1/1/2018 0:20,EST,Nuclear,5410,,,,,
1/1/2018 0:20,EST,Other Fossil Fuels,326,,,,,
1/1/2018 0:20,EST,Other Renewables,278,,,,,
1/1/2018 0:20,EST,Wind,375,,,,,
1/1/2018 0:20,EST,Hydro,2390,,,,,
1/1/2018 0:25,EST,Dual Fuel,4557,,,,,
1/1/2018 0:25,EST,Natural Gas,2739,,,,,
